location,price,bill_of_sale,mortgage,repair,area_m2,number_of_room,floor,price_per_m2
Nərimanov r.,410000,Çıxarış var,Ipoteka yoxdur,Təmirli,200.0,4,2,2262.3388868301045
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Nərimanov r.,418404,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,199.2,5,12,2262.3388868301045
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Koroğlu m.,269000,Çıxarış var,Ipoteka yoxdur,Təmirli,172.0,3,15,1573.4246575342465
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,15,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nərimanov r.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,105.0,3,11,2262.3388868301045
Gənclik m.,195000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,16,2404.484840820714
Nəriman Nərimanov m.,200000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,104.0,3,17,2350.35568779757
Gənclik m.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,6,2404.484840820714
Nəriman Nərimanov m.,285000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,106.0,3,5,2350.35568779757
Nəriman Nərimanov m.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,65.0,2,11,2350.35568779757
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,108.0,3,15,2350.35568779757
Nəriman Nərimanov m.,179000,Çıxarış var,Ipoteka yoxdur,Təmirli,85.0,2,4,2350.35568779757
Nərimanov r.,130000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,62.0,2,6,2262.3388868301045
Gənclik m.,319000,Çıxarış var,İpoteka var,Təmirli,120.0,3,14,2404.484840820714
8 Noyabr m.,279000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,3,2189.8477742287632
Nəriman Nərimanov m.,319000,Çıxarış var,Ipoteka yoxdur,Təmirli,112.0,3,12,2350.35568779757
Nəriman Nərimanov m.,189000,Çıxarış var,Ipoteka yoxdur,Təmirli,70.0,2,7,2350.35568779757
Nəriman Nərimanov m.,225000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,82.0,4,6,2350.35568779757
Gənclik m.,196000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,15,2404.484840820714
Gənclik m.,239000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,114.0,3,17,2404.484840820714
Nərimanov r.,139000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,6,2262.3388868301045
Gənclik m.,130000,Çıxarış var,Ipoteka yoxdur,Təmirli,45.0,2,10,2404.484840820714
Nərimanov r.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,125.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,148000,Çıxarış var,İpoteka var,Təmirli,65.0,2,3,2350.35568779757
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nərimanov r.,285000,Çıxarış var,İpoteka var,Təmirli,130.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış var,İpoteka var,Təmirli,103.0,3,10,2350.35568779757
Gənclik m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,85.0,3,7,2404.484840820714
28 May m.,270000,Çıxarış var,İpoteka var,Təmirli,130.0,3,16,2292.720682644982
Nəriman Nərimanov m.,179000,Çıxarış var,Ipoteka yoxdur,Təmirli,88.0,2,4,2350.35568779757
Nərimanov r.,193000,Çıxarış var,Ipoteka yoxdur,Təmirli,68.0,2,16,2262.3388868301045
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,110.0,3,15,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,96.0,3,14,2350.35568779757
Nəriman Nərimanov m.,400000,Çıxarış var,İpoteka var,Təmirli,147.0,3,6,2350.35568779757
Gənclik m.,344000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,167.0,3,9,2404.484840820714
Nəriman Nərimanov m.,256000,Çıxarış var,İpoteka var,Təmirli,130.0,3,9,2350.35568779757
Nərimanov r.,159000,Çıxarış var,Ipoteka yoxdur,Təmirli,103.0,2,7,2262.3388868301045
Gənclik m.,349000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,155.0,3,5,2404.484840820714
Nərimanov r.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,78.5,3,15,2262.3388868301045
Gənclik m.,95000,Çıxarış var,İpoteka var,Təmirsiz,54.0,2,17,2404.484840820714
Nərimanov r.,153000,Çıxarış var,Ipoteka yoxdur,Təmirli,67.0,1,17,2262.3388868301045
Nərimanov r.,370000,Çıxarış var,İpoteka var,Təmirli,120.0,3,8,2262.3388868301045
Gənclik m.,319000,Çıxarış var,Ipoteka yoxdur,Təmirli,146.0,3,3,2404.484840820714
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,93.0,2,13,2350.35568779757
Nəriman Nərimanov m.,267000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,100.0,3,8,2350.35568779757
Nəriman Nərimanov m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,80.0,2,10,2350.35568779757
Gənclik m.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,5,2404.484840820714
Nəriman Nərimanov m.,215000,Çıxarış var,Ipoteka yoxdur,Təmirli,84.0,2,3,2350.35568779757
Nərimanov r.,99000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,87.0,2,7,2262.3388868301045
Nərimanov r.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,54.0,2,4,2262.3388868301045
Nəriman Nərimanov m.,256000,Çıxarış var,Ipoteka yoxdur,Təmirli,127.0,3,9,2350.35568779757
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nəriman Nərimanov m.,145000,Çıxarış var,İpoteka var,Təmirli,68.0,2,3,2350.35568779757
Nərimanov r.,158000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,69.0,2,12,2262.3388868301045
Nəriman Nərimanov m.,186000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,53.0,2,10,2350.35568779757
Nərimanov r.,362700,Çıxarış var,İpoteka var,Təmirli,165.0,3,10,2262.3388868301045
Gənclik m.,230000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,99.0,3,10,2404.484840820714
Nəriman Nərimanov m.,400000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,216.0,4,10,2350.35568779757
Nəriman Nərimanov m.,212000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,106.0,2,8,2350.35568779757
Nəriman Nərimanov m.,188099,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,7,2350.35568779757
Nərimanov r.,435000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,198.0,4,4,2262.3388868301045
Nərimanov r.,238500,Çıxarış var,İpoteka var,Təmirli,135.0,3,10,2262.3388868301045
Nərimanov r.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,54.0,2,6,2262.3388868301045
Nərimanov r.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,3,4,2262.3388868301045
Nərimanov r.,127000,Çıxarış var,İpoteka var,Təmirli,45.0,1,13,2262.3388868301045
Nərimanov r.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,3,4,2262.3388868301045
Nəriman Nərimanov m.,138000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,75.0,3,1,2350.35568779757
Nəriman Nərimanov m.,278000,Çıxarış var,İpoteka var,Təmirli,116.0,3,12,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,93.0,3,8,2350.35568779757
Gənclik m.,250000,Çıxarış var,Ipoteka yoxdur,Təmirli,142.0,3,2,2404.484840820714
28 May m.,210000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,103.0,3,8,2292.720682644982
Nərimanov r.,172000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,2,2262.3388868301045
Gənclik m.,490000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,139.0,3,9,2404.484840820714
Nərimanov r.,365000,Çıxarış var,İpoteka var,Təmirli,128.0,3,6,2262.3388868301045
Nərimanov r.,370000,Çıxarış var,İpoteka var,Təmirli,131.0,3,3,2262.3388868301045
Nərimanov r.,215000,Çıxarış var,İpoteka var,Təmirli,95.0,3,18,2262.3388868301045
Nərimanov r.,285000,Çıxarış var,İpoteka var,Təmirli,100.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nəriman Nərimanov m.,314180,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,136.6,3,10,2350.35568779757
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Nərimanov r.,275000,Çıxarış var,İpoteka var,Təmirli,103.0,3,15,2262.3388868301045
Nərimanov r.,180000,Çıxarış var,Ipoteka yoxdur,Təmirli,63.0,2,13,2262.3388868301045
Nəriman Nərimanov m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,113.8,3,4,2350.35568779757
Nəriman Nərimanov m.,325000,Çıxarış var,Ipoteka yoxdur,Təmirli,145.0,3,3,2350.35568779757
Nəriman Nərimanov m.,185000,Çıxarış var,İpoteka var,Təmirli,80.0,2,5,2350.35568779757
Nəriman Nərimanov m.,278000,Çıxarış var,İpoteka var,Təmirli,116.0,3,12,2350.35568779757
Nəriman Nərimanov m.,390000,Çıxarış var,Ipoteka yoxdur,Təmirli,152.0,4,8,2350.35568779757
Nərimanov r.,265000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,152.4,3,19,2262.3388868301045
Nəriman Nərimanov m.,276000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,136.0,3,8,2350.35568779757
Gənclik m.,230000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,98.5,2,10,2404.484840820714
Nərimanov r.,345000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,168.0,4,13,2262.3388868301045
Nərimanov r.,292000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,157.0,3,15,2262.3388868301045
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,150.0,3,16,2350.35568779757
Nərimanov r.,193000,Çıxarış var,İpoteka var,Təmirli,67.0,2,16,2262.3388868301045
28 May m.,280000,Çıxarış var,Ipoteka yoxdur,Təmirli,135.0,3,4,2292.720682644982
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,81.0,3,14,2350.35568779757
Nəriman Nərimanov m.,130000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,56.0,2,10,2350.35568779757
Nərimanov r.,249000,Çıxarış var,İpoteka var,Təmirsiz,120.0,3,9,2262.3388868301045
Nəriman Nərimanov m.,275000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,3,5,2350.35568779757
Nəriman Nərimanov m.,265000,Çıxarış var,Ipoteka yoxdur,Təmirli,136.0,3,11,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,120.0,3,4,2350.35568779757
Nərimanov r.,255000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,153.0,3,18,2262.3388868301045
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
Nəriman Nərimanov m.,187000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,5,2350.35568779757
Nərimanov r.,260000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,100.0,3,19,2262.3388868301045
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,79.0,2,12,2292.720682644982
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
28 May m.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,58.0,2,12,2292.720682644982
Nərimanov r.,485000,Çıxarış var,Ipoteka yoxdur,Təmirli,170.0,3,7,2262.3388868301045
Nərimanov r.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,135.0,3,10,2262.3388868301045
Gənclik m.,163000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,54.0,2,4,2404.484840820714
Nəriman Nərimanov m.,314180,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,136.6,3,10,2350.35568779757
Nərimanov r.,155000,Çıxarış var,Ipoteka yoxdur,Təmirli,51.0,2,6,2262.3388868301045
Nəriman Nərimanov m.,260000,Çıxarış var,Ipoteka yoxdur,Təmirli,124.0,3,17,2350.35568779757
Nərimanov r.,290000,Çıxarış var,İpoteka var,Təmirli,100.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,267000,Çıxarış var,İpoteka var,Təmirli,100.5,3,7,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,4,5,2350.35568779757
Nərimanov r.,290000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,101.0,3,10,2262.3388868301045
Nəriman Nərimanov m.,345000,Çıxarış var,İpoteka var,Təmirli,115.0,3,12,2350.35568779757
Nəriman Nərimanov m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,114.0,3,4,2350.35568779757
Nərimanov r.,155000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,3,2262.3388868301045
Nəriman Nərimanov m.,340000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,182.0,4,14,2350.35568779757
Nəriman Nərimanov m.,340000,Çıxarış var,İpoteka var,Təmirsiz,185.0,4,11,2350.35568779757
Nərimanov r.,199000,Çıxarış var,İpoteka var,Təmirli,71.0,2,15,2262.3388868301045
Nəriman Nərimanov m.,199000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,126.0,3,11,2350.35568779757
Nərimanov r.,260000,Çıxarış var,İpoteka var,Təmirli,100.0,3,19,2262.3388868301045
Nəriman Nərimanov m.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,168.0,3,9,2350.35568779757
Dərnəgül m.,195000,Çıxarış var,İpoteka var,Təmirli,70.5,2,9,2143.023642504547
Nəriman Nərimanov m.,255000,Çıxarış var,Ipoteka yoxdur,Təmirli,120.0,3,5,2350.35568779757
Nəriman Nərimanov m.,175000,Çıxarış var,İpoteka var,Təmirsiz,76.0,2,11,2350.35568779757
Nəriman Nərimanov m.,295000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,124.0,3,6,2350.35568779757
Gənclik m.,225000,Çıxarış yoxdur,İpoteka var,Təmirsiz,120.0,2,11,2404.484840820714
Nəriman Nərimanov m.,187000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,70.0,2,5,2350.35568779757
Nərimanov r.,194700,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,97.4,2,7,2262.3388868301045
Nəriman Nərimanov m.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,108.0,3,14,2350.35568779757
Nərimanov r.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,102.5,3,14,2262.3388868301045
Nəriman Nərimanov m.,335000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,129.0,3,6,2350.35568779757
Nəriman Nərimanov m.,330000,Çıxarış var,Ipoteka yoxdur,Təmirli,113.8,3,4,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,121.0,3,14,2350.35568779757
Nəriman Nərimanov m.,281000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,181.0,4,9,2350.35568779757
Nərimanov r.,198000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,109.0,3,5,2262.3388868301045
Gənclik m.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,143.0,4,5,2404.484840820714
Nəriman Nərimanov m.,275000,Çıxarış var,Ipoteka yoxdur,Təmirli,103.0,3,12,2350.35568779757
Nəriman Nərimanov m.,378000,Çıxarış var,İpoteka var,Təmirsiz,143.0,4,11,2350.35568779757
Nəriman Nərimanov m.,345000,Çıxarış var,İpoteka var,Təmirsiz,187.0,4,17,2350.35568779757
Gənclik m.,225000,Çıxarış var,İpoteka var,Təmirli,95.0,2,6,2404.484840820714
Nəriman Nərimanov m.,310000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,174.0,3,15,2350.35568779757
Nəriman Nərimanov m.,273000,Çıxarış yoxdur,İpoteka var,Təmirli,130.0,3,4,2350.35568779757
28 May m.,172000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,3,2292.720682644982
Nərimanov r.,350000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,167.0,3,9,2262.3388868301045
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
28 May m.,207000,Çıxarış var,Ipoteka yoxdur,Təmirli,77.0,2,9,2292.720682644982
28 May m.,259000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,125.0,3,7,2292.720682644982
Gənclik m.,250000,Çıxarış var,İpoteka var,Təmirsiz,117.0,3,9,2404.484840820714
Nərimanov r.,365000,Çıxarış var,Ipoteka yoxdur,Təmirli,122.0,3,12,2262.3388868301045
Nərimanov r.,157000,Çıxarış var,İpoteka var,Təmirli,90.0,2,13,2262.3388868301045
Nəriman Nərimanov m.,175000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,75.0,2,11,2350.35568779757
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,81.0,3,14,2350.35568779757
Nəriman Nərimanov m.,256000,Çıxarış var,Ipoteka yoxdur,Təmirli,127.0,3,9,2350.35568779757
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Gənclik m.,216000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,104.0,3,14,2404.484840820714
Nəriman Nərimanov m.,178000,Çıxarış var,Ipoteka yoxdur,Təmirli,70.0,2,14,2350.35568779757
Nərimanov r.,242000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,121.0,3,14,2262.3388868301045
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,103.0,3,10,2350.35568779757
Nəriman Nərimanov m.,278000,Çıxarış var,Ipoteka yoxdur,Təmirli,116.0,3,12,2350.35568779757
Gənclik m.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,118.0,3,9,2404.484840820714
Nərimanov r.,175000,Çıxarış var,Ipoteka yoxdur,Təmirli,67.0,2,16,2262.3388868301045
Nərimanov r.,180000,Çıxarış var,Ipoteka yoxdur,Təmirli,78.0,1,10,2262.3388868301045
Nərimanov r.,350000,Çıxarış var,Ipoteka yoxdur,Təmirli,167.0,3,9,2262.3388868301045
Nəriman Nərimanov m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,73.0,2,5,2350.35568779757
Nərimanov r.,240000,Çıxarış var,İpoteka var,Təmirsiz,155.0,3,7,2262.3388868301045
Nəriman Nərimanov m.,265000,Çıxarış var,İpoteka var,Təmirli,124.0,3,17,2350.35568779757
Nəriman Nərimanov m.,278000,Çıxarış var,İpoteka var,Təmirli,116.0,3,12,2350.35568779757
Nəriman Nərimanov m.,245000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,14,2350.35568779757
Nərimanov r.,175000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,70.0,2,14,2262.3388868301045
Nərimanov r.,395000,Çıxarış var,Ipoteka yoxdur,Təmirli,158.0,3,16,2262.3388868301045
Gənclik m.,380000,Çıxarış var,İpoteka var,Təmirli,142.9,3,6,2404.484840820714
28 May m.,262000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,102.0,3,11,2292.720682644982
Nərimanov r.,290000,Çıxarış var,Ipoteka yoxdur,Təmirli,100.0,3,5,2262.3388868301045
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,120.0,3,4,2350.35568779757
Nərimanov r.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,55.0,2,8,2262.3388868301045
Nəriman Nərimanov m.,276000,Çıxarış var,Ipoteka yoxdur,Təmirli,114.0,3,5,2350.35568779757
Nəriman Nərimanov m.,290000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,77.0,3,7,2350.35568779757
Nərimanov r.,250000,Çıxarış var,İpoteka var,Təmirsiz,117.0,3,9,2262.3388868301045
Nəriman Nərimanov m.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,156.0,3,5,2350.35568779757
Gənclik m.,216000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,104.0,3,14,2404.484840820714
Nəriman Nərimanov m.,159000,Çıxarış var,İpoteka var,Təmirli,55.0,2,5,2350.35568779757
Gənclik m.,185000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,61.0,2,3,2404.484840820714
Nəriman Nərimanov m.,265000,Çıxarış var,Ipoteka yoxdur,Təmirli,79.0,2,3,2350.35568779757
Nəriman Nərimanov m.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,12,2350.35568779757
Nərimanov r.,225000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,106.0,3,16,2262.3388868301045
Nərimanov r.,150000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,64.0,1,14,2262.3388868301045
Nəriman Nərimanov m.,360000,Çıxarış var,Ipoteka yoxdur,Təmirli,140.0,4,3,2350.35568779757
Nərimanov r.,245000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,93.5,2,12,2262.3388868301045
Nərimanov r.,165000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,165.0,3,18,2262.3388868301045
Gənclik m.,385000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,135.0,4,5,2404.484840820714
Nəriman Nərimanov m.,438000,Çıxarış var,Ipoteka yoxdur,Təmirli,181.0,4,12,2350.35568779757
Nəriman Nərimanov m.,196000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,108.0,2,15,2350.35568779757
Nəriman Nərimanov m.,290000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,124.0,3,7,2350.35568779757
Nəriman Nərimanov m.,328000,Çıxarış var,İpoteka var,Təmirli,130.0,3,3,2350.35568779757
Nəriman Nərimanov m.,317000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,196.0,4,7,2350.35568779757
Nəriman Nərimanov m.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,95.0,3,16,2350.35568779757
Nəriman Nərimanov m.,156500,Çıxarış var,Ipoteka yoxdur,Təmirli,82.0,2,13,2350.35568779757
Nəriman Nərimanov m.,270000,Çıxarış var,İpoteka var,Təmirli,80.0,3,5,2350.35568779757
Nəriman Nərimanov m.,355000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,115.0,3,15,2350.35568779757
Nəriman Nərimanov m.,210000,Çıxarış var,Ipoteka yoxdur,Təmirli,94.0,2,6,2350.35568779757
Nəriman Nərimanov m.,329000,Çıxarış var,Ipoteka yoxdur,Təmirli,114.0,3,4,2350.35568779757
Nərimanov r.,335000,Çıxarış var,İpoteka var,Təmirsiz,212.0,4,8,2262.3388868301045
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,88.0,2,14,2350.35568779757
Nəriman Nərimanov m.,187000,Çıxarış var,İpoteka var,Təmirli,100.0,3,12,2350.35568779757
Nəriman Nərimanov m.,150000,Çıxarış var,İpoteka var,Təmirli,50.0,2,12,2350.35568779757
Nəriman Nərimanov m.,190000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,96.0,3,16,2350.35568779757
Nəriman Nərimanov m.,189000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,86.0,2,14,2350.35568779757
Nəriman Nərimanov m.,262000,Çıxarış var,Ipoteka yoxdur,Təmirli,108.0,3,14,2350.35568779757
Gənclik m.,319000,Çıxarış var,İpoteka var,Təmirli,120.0,3,14,2404.484840820714
Nəriman Nərimanov m.,203000,Çıxarış var,İpoteka var,Təmirli,101.0,3,8,2350.35568779757
Nərimanov r.,225000,Çıxarış var,İpoteka var,Təmirsiz,105.4,3,16,2262.3388868301045
Koroğlu m.,112000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,58.5,1,6,1573.4246575342465
28 May m.,215000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,79.0,2,12,2292.720682644982
28 May m.,127000,Çıxarış var,İpoteka var,Təmirli,44.0,1,13,2292.720682644982
Nərimanov r.,320000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,118.0,3,4,2262.3388868301045
Nərimanov r.,194700,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,97.4,2,7,2262.3388868301045
Nərimanov r.,235660,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,117.8,3,5,2262.3388868301045
Nəriman Nərimanov m.,220000,Çıxarış var,Ipoteka yoxdur,Təmirli,90.0,2,10,2350.35568779757
Nərimanov r.,320000,Çıxarış var,Ipoteka yoxdur,Təmirli,114.0,3,4,2262.3388868301045
Nəriman Nərimanov m.,185000,Çıxarış var,İpoteka var,Təmirli,80.0,2,5,2350.35568779757
Koroğlu m.,246000,Çıxarış var,İpoteka var,Təmirsiz,175.0,3,6,1573.4246575342465
Gənclik m.,189000,Çıxarış var,Ipoteka yoxdur,Təmirli,80.0,2,15,2404.484840820714
Nəriman Nərimanov m.,280000,Çıxarış var,Ipoteka yoxdur,Təmirli,130.0,2,8,2350.35568779757
Nəriman Nərimanov m.,159000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirsiz,86.6,2,6,2350.35568779757
Gənclik m.,269900,Çıxarış var,İpoteka var,Təmirli,115.0,3,13,2404.484840820714
Gənclik m.,344000,Çıxarış var,İpoteka var,Təmirli,170.0,3,9,2404.484840820714
Koroğlu m.,290000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,180.0,3,11,1573.4246575342465
Nəriman Nərimanov m.,251000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,93.0,2,15,2350.35568779757
Nəriman Nərimanov m.,175000,Çıxarış var,Ipoteka yoxdur,Təmirsiz,75.0,2,11,2350.35568779757
28 May m.,285000,Çıxarış var,Ipoteka yoxdur,Təmirli,89.0,3,14,2292.720682644982
Nəriman Nərimanov m.,308000,Çıxarış var,İpoteka var,Təmirsiz,154.0,3,9,2350.35568779757
Nərimanov r.,350000,Çıxarış yoxdur,Ipoteka yoxdur,Təmirli,167.0,3,9,2262.3388868301045
